"Sample Counts","Golden Ratio","Golden Ratio Spiral","R2","R2 Spiral2","R2 Spiral3","R2 Spiral","R2 Jittered","White Noise","Hammersley","Sobol","Blue Noise","Projective Blue Noise","Projective Blue Noise 2"
"1","0.290062","0.287185","0.290062","0.293907","0.287597","0.287270","0.287480","0.291377","0.311195","0.290062","0.301331","0.287028","0.303568"
"2","0.174151","0.251606","0.190569","0.198817","0.197216","0.192602","0.188346","0.164711","0.196890","0.196409","0.203035","0.197292","0.213841"
"4","0.156529","0.254229","0.108520","0.122640","0.121880","0.126704","0.141143","0.154078","0.167259","0.133659","0.102985","0.132881","0.138209"
"8","0.138742","0.238679","0.061661","0.040450","0.054366","0.099163","0.093067","0.107683","0.163298","0.082146","0.058587","0.053010","0.050560"
"16","0.138050","0.228040","0.029983","0.033654","0.044866","0.055611","0.057767","0.057916","0.161777","0.055595","0.033499","0.040322","0.038491"
"32","0.136670","0.221994","0.020030","0.025040","0.016850","0.020582","0.032698","0.037128","0.160068","0.016698","0.024178","0.020869","0.016242"
"64","0.135708","0.215586","0.010527","0.013523","0.008822","0.011535","0.019353","0.037781","0.156532","0.008975","0.016629","0.022208","0.013695"
"128","0.131244","0.192292","0.007137","0.011741","0.006207","0.008797","0.011102","0.022583","0.148442","0.005403","0.009966","0.009475","0.010261"
"256","0.117293","0.142237","0.005271","0.010641","0.004296","0.005234","0.007714","0.013436","0.128945","0.004201","0.006311","0.005468","0.005110"
"512","0.085644","0.083764","0.003400","0.009601","0.003734","0.003818","0.004440","0.012864","0.085746","0.003103","0.004363","0.004310","0.004373"
"1024","0.002942","0.003075","0.003060","0.009431","0.003206","0.003400","0.003555","0.008192","0.003030","0.002957","0.003812","0.004493","0.003561"

