"Sample","White Noise","Golden Ratio","Blue Noise","Projective Blue Noise"
"1","0.146610","0.000000","0.182585","0.197668"
"2","0.042490","0.116100","0.048521","0.006704"
"3","0.012911","0.158653","0.044383","0.064696"
"4","0.099426","0.141438","0.050598","0.023462"
"5","0.114862","0.082173","0.042513","0.068741"
"6","0.151476","0.094175","0.030314","0.066497"
"7","0.196663","0.112593","0.016577","0.110367"
"8","0.205997","0.081850","0.011397","0.077019"
"9","0.165789","0.097016","0.023473","0.040996"
"10","0.172349","0.093841","0.002784","0.023310"
"11","0.147411","0.107158","0.016467","0.009617"
"12","0.121354","0.067611","0.030080","0.047711"
"13","0.125803","0.067116","0.045888","0.029338"
"14","0.110931","0.059854","0.036115","0.020048"
"15","0.122359","0.070355","0.023348","0.012008"
"16","0.133070","0.079134","0.021155","0.028207"
"17","0.138362","0.068190","0.017463","0.014568"
"18","0.154320","0.074827","0.024225","0.000566"
"19","0.135725","0.080548","0.041764","0.000188"
"20","0.125057","0.075244","0.029163","0.006423"
"21","0.118891","0.058048","0.043136","0.013236"
"22","0.113850","0.059297","0.036263","0.023233"
"23","0.121086","0.067418","0.028232","0.004789"
"24","0.130271","0.053244","0.020812","0.001932"
"25","0.127927","0.056766","0.021430","0.005450"
"26","0.120545","0.053526","0.011084","0.014290"
"27","0.125922","0.059320","0.010989","0.010134"
"28","0.137017","0.038240","0.002305","0.000720"
"29","0.127940","0.035543","0.013068","0.016430"
"30","0.125128","0.042360","0.007896","0.013742"
"31","0.113742","0.046249","0.000489","0.013765"
"32","0.107956","0.047968","0.008362","0.024473"
"33","0.101880","0.039480","0.003434","0.019714"
"34","0.099641","0.041988","0.003281","0.020521"
"35","0.090583","0.043787","0.006241","0.017668"
"36","0.092796","0.038149","0.006949","0.012559"
"37","0.085499","0.043615","0.005355","0.017525"
"38","0.076796","0.042429","0.011730","0.018050"
"39","0.068588","0.047020","0.005626","0.012976"
"40","0.061054","0.035082","0.009133","0.007683"
"41","0.057043","0.035346","0.012665","0.001724"
"42","0.050407","0.031206","0.014537","0.008351"
"43","0.043630","0.034230","0.018389","0.007519"
"44","0.045581","0.039066","0.017344","0.019782"
"45","0.042673","0.034654","0.022412","0.019342"
"46","0.039535","0.037878","0.021969","0.021325"
"47","0.033737","0.038989","0.020045","0.027425"
"48","0.041879","0.037622","0.009205","0.021728"
"49","0.050479","0.029186","0.000759","0.016383"
"50","0.044824","0.029474","0.004504","0.011718"
"51","0.045208","0.029054","0.002865","0.009383"
"52","0.040597","0.022512","0.001665","0.016115"
"53","0.041816","0.024931","0.004993","0.023788"
"54","0.037776","0.022493","0.005563","0.025352"
"55","0.038946","0.025330","0.003538","0.022607"
"56","0.041560","0.029067","0.000003","0.022946"
"57","0.037316","0.027368","0.001616","0.021503"
"58","0.044946","0.022276","0.000122","0.021165"
"59","0.047835","0.023495","0.002085","0.016835"
"60","0.044147","0.027194","0.001371","0.025302"
"61","0.040597","0.021875","0.005174","0.025373"
"62","0.038396","0.023256","0.009086","0.024002"
"63","0.035344","0.022871","0.005398","0.032055"
"64","0.035133","0.026062","0.001662","0.038132"
"65","0.032355","0.017390","0.001465","0.044246"
"66","0.033964","0.016278","0.000575","0.042569"
"67","0.031268","0.019240","0.001969","0.044789"
"68","0.027930","0.021867","0.004250","0.044260"
"69","0.027660","0.022170","0.001591","0.040453"
"70","0.031732","0.018562","0.000447","0.040235"
"71","0.027976","0.019952","0.007215","0.040411"
"72","0.030322","0.021865","0.003706","0.036596"
"73","0.031419","0.018828","0.000762","0.034197"
"74","0.034393","0.021146","0.004932","0.036136"
"75","0.032433","0.020982","0.006782","0.033299"
"76","0.029960","0.023633","0.004279","0.031405"
"77","0.026653","0.017437","0.003830","0.028067"
"78","0.029582","0.017390","0.004381","0.031474"
"79","0.027853","0.015771","0.004093","0.029011"
"80","0.034190","0.017824","0.002490","0.027169"
"81","0.037409","0.019731","0.006572","0.025909"
"82","0.035477","0.017371","0.004470","0.022881"
"83","0.032694","0.019080","0.001805","0.028729"
"84","0.031161","0.020360","0.000853","0.025552"
"85","0.028578","0.019139","0.001347","0.024255"
"86","0.032524","0.014586","0.003999","0.023123"
"87","0.029596","0.014851","0.005955","0.020677"
"88","0.028885","0.017373","0.007933","0.020344"
"89","0.026538","0.013242","0.009536","0.017989"
"90","0.024858","0.014233","0.009982","0.015062"
"91","0.024998","0.013034","0.011664","0.012893"
"92","0.022350","0.014860","0.012836","0.010812"
"93","0.019474","0.007949","0.013833","0.008238"
"94","0.017128","0.006818","0.009569","0.006083"
"95","0.018971","0.009064","0.009338","0.007988"
"96","0.017185","0.010163","0.010725","0.006364"
"97","0.015793","0.010593","0.004482","0.007191"
"98","0.020614","0.007321","0.000236","0.005605"
"99","0.021168","0.008109","0.001546","0.008215"
"100","0.019770","0.008399","0.004647","0.012381"

