"Sample","N^-0.5","N^-0.75","N^-1","Golden Ratio","Golden Ratio Spiral","R2","R2 Spiral","R2 Jittered","White Noise","Hammersley","Sobol","Blue Noise","Projective Blue Noise","Projective Blue Noise 2"
"1","1.000000","1.000000","1.000000","0.000000","0.090164","0.000000","0.114226","0.185889","0.044884","0.250000","0.000000","0.034409","0.040560","0.247328"
"2","0.707107","0.594604","0.500000","0.095434","0.134999","0.116100","0.163487","0.215878","0.077658","0.249756","0.031250","0.036255","0.320366","0.082398"
"3","0.577350","0.438691","0.333333","0.023799","0.131889","0.158653","0.017629","0.145673","0.136846","0.249674","0.041667","0.066511","0.179142","0.041446"
"4","0.500000","0.353553","0.250000","0.035827","0.150569","0.141438","0.065619","0.161584","0.107420","0.249207","0.058594","0.064674","0.094974","0.051850"
"5","0.447214","0.299070","0.200000","0.019312","0.132204","0.082173","0.034286","0.154865","0.037478","0.249268","0.056250","0.012624","0.114392","0.072792"
"6","0.408248","0.260847","0.166667","0.024087","0.136178","0.094175","0.033283","0.161289","0.015829","0.248881","0.018229","0.031497","0.058481","0.003483"
"7","0.377964","0.232368","0.142857","0.000022","0.149854","0.112593","0.011281","0.116202","0.017691","0.248727","0.008929","0.054450","0.016534","0.024867"
"8","0.353553","0.210224","0.125000","0.021077","0.143510","0.081850","0.019464","0.130618","0.010542","0.248138","0.031738","0.030896","0.043887","0.026305"
"9","0.333333","0.192450","0.111111","0.016024","0.147966","0.097016","0.008481","0.136318","0.000624","0.248291","0.006076","0.001198","0.032024","0.004226"
"10","0.316228","0.177828","0.100000","0.007408","0.134725","0.093841","0.002214","0.128922","0.011289","0.247968","0.013672","0.023298","0.030308","0.011457"
"11","0.301511","0.165560","0.090909","0.002067","0.134416","0.107158","0.012646","0.091507","0.009394","0.247875","0.012784","0.003604","0.006267","0.004464"
"12","0.288675","0.155101","0.083333","0.006239","0.140660","0.067611","0.008593","0.092578","0.041437","0.247325","0.027669","0.006322","0.007255","0.007603"
"13","0.277350","0.146064","0.076923","0.011082","0.135288","0.067116","0.010655","0.099867","0.023251","0.247361","0.001803","0.024119","0.001036","0.010924"
"14","0.267261","0.138167","0.071429","0.012005","0.137039","0.059854","0.014640","0.069304","0.003894","0.246926","0.001953","0.040171","0.030159","0.030945"
"15","0.258199","0.131199","0.066667","0.000240","0.143486","0.070355","0.003156","0.079876","0.005706","0.246733","0.014583","0.039385","0.047753","0.018129"
"16","0.250000","0.125000","0.062500","0.008934","0.141127","0.079134","0.015576","0.076208","0.009858","0.246078","0.026550","0.049722","0.034938","0.004651"
"17","0.242536","0.119444","0.058824","0.005487","0.143766","0.068190","0.003593","0.084478","0.008798","0.246280","0.005859","0.060867","0.024929","0.016616"
"18","0.235702","0.114432","0.055556","0.008518","0.137958","0.074827","0.000790","0.053442","0.022104","0.245997","0.009169","0.056936","0.010228","0.031143"
"19","0.229416","0.109884","0.052632","0.004212","0.137819","0.080548","0.005109","0.051831","0.030698","0.245948","0.008840","0.037949","0.016134","0.027155"
"20","0.223607","0.105737","0.050000","0.010211","0.141457","0.075244","0.003644","0.044996","0.029156","0.245425","0.018701","0.029720","0.016285","0.014764"
"21","0.218218","0.101938","0.047619","0.000336","0.138495","0.058048","0.000781","0.050078","0.039622","0.245498","0.002325","0.029504","0.035448","0.041143"
"22","0.213201","0.098443","0.045455","0.000358","0.139564","0.059297","0.001894","0.055410","0.038186","0.245091","0.002353","0.033997","0.024146","0.029297"
"23","0.208514","0.095215","0.043478","0.009019","0.143668","0.067418","0.008722","0.046710","0.043772","0.244925","0.005095","0.042325","0.015553","0.023238"
"24","0.204124","0.092223","0.041667","0.003500","0.142279","0.053244","0.014834","0.050820","0.048397","0.244288","0.014282","0.050017","0.020045","0.029730"
"25","0.200000","0.089443","0.040000","0.006391","0.144059","0.056766","0.001194","0.053023","0.044538","0.244429","0.006484","0.045359","0.009794","0.019262"
