"Sample","N^-0.5","N^-0.75","N^-1","Golden Ratio","Golden Ratio Spiral","R2","R2 Spiral","R2 Jittered","White Noise","Hammersley","Sobol","Blue Noise","Projective Blue Noise","Projective Blue Noise 2"
"1","1.000000","1.000000","1.000000","0.500000","0.500000","0.500000","0.500000","0.500000","0.500000","0.500000","0.500000","0.500000","0.500000","0.500000"
"2","0.707107","0.594604","0.500000","0.500000","0.500000","0.500000","0.000000","0.500000","0.500000","0.500000","0.500000","0.500000","0.000000","0.000000"
"3","0.577350","0.438691","0.333333","0.166667","0.500000","0.500000","0.166667","0.500000","0.166667","0.500000","0.500000","0.166667","0.166667","0.166667"
"4","0.500000","0.353553","0.250000","0.250000","0.500000","0.500000","0.000000","0.500000","0.000000","0.500000","0.500000","0.250000","0.250000","0.250000"
"5","0.447214","0.299070","0.200000","0.100000","0.500000","0.300000","0.100000","0.500000","0.100000","0.500000","0.300000","0.100000","0.100000","0.100000"
"6","0.408248","0.260847","0.166667","0.166667","0.500000","0.333333","0.000000","0.333333","0.000000","0.500000","0.333333","0.166667","0.166667","0.166667"
"7","0.377964","0.232368","0.142857","0.214286","0.500000","0.214286","0.071429","0.214286","0.071429","0.500000","0.357143","0.214286","0.214286","0.071429"
"8","0.353553","0.210224","0.125000","0.125000","0.500000","0.125000","0.000000","0.250000","0.000000","0.375000","0.375000","0.125000","0.125000","0.125000"
"9","0.333333","0.192450","0.111111","0.166667","0.500000","0.166667","0.055556","0.166667","0.055556","0.388889","0.277778","0.055556","0.055556","0.055556"
"10","0.316228","0.177828","0.100000","0.200000","0.500000","0.200000","0.000000","0.100000","0.000000","0.400000","0.200000","0.000000","0.100000","0.000000"
"11","0.301511","0.165560","0.090909","0.136364","0.500000","0.227273","0.045455","0.045455","0.045455","0.409091","0.227273","0.045455","0.136364","0.045455"
"12","0.288675","0.155101","0.083333","0.166667","0.500000","0.166667","0.000000","0.083333","0.083333","0.333333","0.250000","0.000000","0.083333","0.000000"
"13","0.277350","0.146064","0.076923","0.115385","0.500000","0.192308","0.038462","0.038462","0.038462","0.346154","0.192308","0.038462","0.038462","0.038462"
"14","0.267261","0.138167","0.071429","0.142857","0.500000","0.142857","0.071429","0.000000","0.000000","0.357143","0.214286","0.071429","0.000000","0.000000"
