"Sample","N^-0.5","N^-0.75","N^-1","White Noise","Golden Ratio","Golden Ratio2","Hammersley","Sobol","Blue Noise","Projective Blue Noise","Projective Blue Noise 2"
"1","1.000000","1.000000","1.000000","0.063808","0.048784","0.284117","0.442254","0.048784","0.159088","0.006885","0.194828"
"2","0.707107","0.594604","0.500000","0.001305","0.211790","0.029824","0.331654","0.013150","0.122349","0.060641","0.115078"
"3","0.577350","0.438691","0.333333","0.017026","0.176653","0.040436","0.348324","0.001271","0.006748","0.133335","0.110955"
"4","0.500000","0.353553","0.250000","0.080894","0.126393","0.096018","0.264251","0.050227","0.064286","0.040801","0.096844"
"5","0.447214","0.299070","0.200000","0.067278","0.072746","0.136993","0.296747","0.028115","0.046139","0.047051","0.136434"
"6","0.408248","0.260847","0.166667","0.091654","0.104498","0.093799","0.267101","0.005363","0.057850","0.061771","0.091674"
"7","0.377964","0.232368","0.142857","0.033110","0.071226","0.076867","0.273378","0.010889","0.047676","0.034553","0.042086"
"8","0.353553","0.210224","0.125000","0.053586","0.045824","0.108707","0.227615","0.049263","0.002247","0.016399","0.013898"
"9","0.333333","0.192450","0.111111","0.068448","0.061570","0.108469","0.251024","0.017609","0.008107","0.019908","0.050251"
"10","0.316228","0.177828","0.100000","0.082633","0.061426","0.077342","0.243018","0.001436","0.005156","0.007036","0.017679"
"11","0.301511","0.165560","0.090909","0.102961","0.092330","0.050804","0.252664","0.005311","0.021970","0.030170","0.014289"
"12","0.288675","0.155101","0.083333","0.110517","0.062368","0.063282","0.228189","0.031359","0.000694","0.026360","0.028283"
"13","0.277350","0.146064","0.076923","0.077084","0.064893","0.049838","0.241988","0.010822","0.006579","0.002525","0.042938"
"14","0.267261","0.138167","0.071429","0.097871","0.048812","0.062690","0.229382","0.013196","0.017188","0.010277","0.030147"
"15","0.258199","0.131199","0.066667","0.097440","0.061189","0.065589","0.231949","0.002708","0.029470","0.001199","0.042891"
"16","0.250000","0.125000","0.062500","0.098868","0.054174","0.060083","0.208540","0.017412","0.024612","0.015533","0.021249"
