"Sample","N^-0.5","N^-0.75","N^-1","White Noise","Golden Ratio","Golden Ratio2","Hammersley","Sobol","Blue Noise","Projective Blue Noise","Projective Blue Noise 2"
"1","1.000000","1.000000","1.000000","0.318310","0.318310","0.318310","0.681690","0.318310","0.681690","0.318310","0.681690"
"2","0.707107","0.594604","0.500000","0.318310","0.181690","0.318310","0.181690","0.318310","0.181690","0.318310","0.181690"
"3","0.577350","0.438691","0.333333","0.318310","0.348357","0.318310","0.348357","0.015023","0.015023","0.318310","0.348357"
"4","0.500000","0.353553","0.250000","0.318310","0.181690","0.318310","0.181690","0.068310","0.181690","0.068310","0.181690"
"5","0.447214","0.299070","0.200000","0.318310","0.081690","0.118310","0.281690","0.118310","0.081690","0.081690","0.081690"
"6","0.408248","0.260847","0.166667","0.318310","0.181690","0.015023","0.181690","0.151643","0.015023","0.015023","0.015023"
"7","0.377964","0.232368","0.142857","0.175453","0.253119","0.032596","0.110262","0.032596","0.032596","0.110262","0.110262"
"8","0.353553","0.210224","0.125000","0.193310","0.181690","0.068310","0.056690","0.056690","0.068310","0.056690","0.056690"
"9","0.333333","0.192450","0.111111","0.207199","0.126135","0.015023","0.126135","0.015023","0.096088","0.015023","0.015023"
"10","0.316228","0.177828","0.100000","0.218310","0.181690","0.018310","0.081690","0.018310","0.018310","0.018310","0.018310"
"11","0.301511","0.165560","0.090909","0.227401","0.227145","0.045583","0.136236","0.045583","0.045583","0.045583","0.045583"
"12","0.288675","0.155101","0.083333","0.234977","0.181690","0.068310","0.098357","0.015023","0.015023","0.068310","0.068310"
"13","0.277350","0.146064","0.076923","0.241387","0.143229","0.010618","0.143229","0.010618","0.010618","0.010618","0.010618"
"14","0.267261","0.138167","0.071429","0.175453","0.181690","0.032596","0.110262","0.032596","0.038833","0.032596","0.032596"
"15","0.258199","0.131199","0.066667","0.184977","0.215023","0.051643","0.081690","0.015023","0.081690","0.051643","0.015023"
"16","0.250000","0.125000","0.062500","0.130810","0.181690","0.068310","0.056690","0.056690","0.056690","0.005810","0.056690"
"17","0.242536","0.119444","0.058824","0.083016","0.152278","0.024192","0.093455","0.034631","0.093455","0.024192","0.034631"
"18","0.235702","0.114432","0.055556","0.040532","0.126135","0.040532","0.070579","0.015023","0.070579","0.015023","0.015023"
"19","0.229416","0.109884","0.052632","0.055152","0.155374","0.055152","0.102743","0.002520","0.050111","0.002520","0.050111"
"20","0.223607","0.105737","0.050000","0.068310","0.131690","0.068310","0.081690","0.018310","0.031690","0.018310","0.031690"
"21","0.218218","0.101938","0.047619","0.032596","0.110262","0.032596","0.110262","0.032596","0.062643","0.015023","0.015023"
"22","0.213201","0.098443","0.045455","0.045583","0.090781","0.045583","0.090781","0.045583","0.045327","0.045327","0.000128"
"23","0.208514","0.095215","0.043478","0.057440","0.116473","0.057440","0.072994","0.013962","0.072994","0.029516","0.029516"
