"Sample","White Noise","Golden Ratio","Blue Noise","Projective Blue Noise"
"1","0.500000","0.500000","0.500000","0.500000"
"2","0.000000","0.500000","0.500000","0.000000"
"3","0.166667","0.500000","0.166667","0.166667"
"4","0.000000","0.500000","0.000000","0.000000"
"5","0.100000","0.300000","0.100000","0.100000"
"6","0.166667","0.333333","0.166667","0.166667"
"7","0.214286","0.214286","0.071429","0.214286"
"8","0.250000","0.125000","0.125000","0.125000"
"9","0.166667","0.166667","0.166667","0.055556"
"10","0.200000","0.200000","0.100000","0.000000"
"11","0.136364","0.227273","0.045455","0.045455"
"12","0.083333","0.166667","0.000000","0.000000"
"13","0.115385","0.192308","0.038462","0.038462"
"14","0.142857","0.142857","0.000000","0.071429"
"15","0.166667","0.166667","0.033333","0.100000"
"16","0.187500","0.125000","0.062500","0.062500"
"17","0.205882","0.088235","0.088235","0.088235"
"18","0.222222","0.111111","0.111111","0.111111"
"19","0.184211","0.131579","0.131579","0.131579"
"20","0.150000","0.100000","0.100000","0.100000"
"21","0.166667","0.071429","0.119048","0.119048"
"22","0.136364","0.090909","0.090909","0.136364"
"23","0.152174","0.108696","0.065217","0.108696"
"24","0.166667","0.083333","0.041667","0.083333"
"25","0.180000","0.100000","0.020000","0.060000"
"26","0.192308","0.076923","0.000000","0.076923"
"27","0.203704","0.092593","0.018519","0.055556"
"28","0.214286","0.071429","0.035714","0.035714"
"29","0.189655","0.086207","0.017241","0.017241"
"30","0.200000","0.100000","0.033333","0.000000"
"31","0.177419","0.112903","0.048387","0.016129"
"32","0.156250","0.093750","0.031250","0.031250"
"33","0.136364","0.075758","0.045455","0.015152"
"34","0.147059","0.088235","0.058824","0.000000"
"35","0.128571","0.071429","0.042857","0.014286"
"36","0.138889","0.055556","0.027778","0.027778"
"37","0.121622","0.067568","0.013514","0.013514"
"38","0.105263","0.078947","0.000000","0.000000"
"39","0.089744","0.089744","0.012821","0.012820"
"40","0.075000","0.075000","0.025000","0.025000"
"41","0.085366","0.085366","0.036585","0.036585"
"42","0.071429","0.071429","0.023810","0.023809"
"43","0.058140","0.081395","0.011628","0.034884"
"44","0.068182","0.068182","0.022727","0.022727"
"45","0.055556","0.055556","0.011111","0.011111"
"46","0.043478","0.065217","0.000000","0.000000"
"47","0.031915","0.074468","0.010638","0.010638"
"48","0.041667","0.062500","0.020833","0.000000"
"49","0.051020","0.051021","0.030612","0.010204"
"50","0.060000","0.060000","0.040000","0.020000"
"51","0.068627","0.049020","0.029412","0.029412"
"52","0.057692","0.038462","0.019231","0.019231"
"53","0.066038","0.047170","0.009434","0.009434"
"54","0.055556","0.037037","0.000000","0.000000"
"55","0.063636","0.045455","0.009091","0.009091"
"56","0.071429","0.035714","0.017857","0.000000"
"57","0.061404","0.026316","0.008772","0.008772"
"58","0.068966","0.017241","0.017241","0.017241"
"59","0.076271","0.025424","0.025424","0.025424"
"60","0.066667","0.033333","0.033333","0.016667"
"61","0.057377","0.024590","0.040984","0.024590"
"62","0.048387","0.032258","0.048387","0.032258"
"63","0.039683","0.023810","0.039682","0.023810"
"64","0.031250","0.031250","0.031250","0.015625"
"65","0.023077","0.023077","0.023077","0.007692"
"66","0.030303","0.030303","0.030303","0.000000"
"67","0.022388","0.037313","0.037313","0.007463"
"68","0.014706","0.044118","0.044118","0.000000"
"69","0.021739","0.036232","0.036232","0.007246"
"70","0.028571","0.028571","0.028571","0.000000"
"71","0.021127","0.035211","0.035211","0.007042"
"72","0.027778","0.027778","0.027778","0.000000"
"73","0.034247","0.020548","0.020548","0.006849"
"74","0.040541","0.027027","0.027027","0.000000"
"75","0.033333","0.033333","0.033333","0.006667"
"76","0.026316","0.039474","0.026316","0.013158"
"77","0.019481","0.032468","0.019480","0.019481"
"78","0.025641","0.038462","0.012820","0.012821"
"79","0.018987","0.031646","0.006329","0.018987"
"80","0.025000","0.037500","0.000000","0.025000"
"81","0.030864","0.030864","0.006173","0.018519"
"82","0.036585","0.024390","0.012195","0.024390"
"83","0.030120","0.030120","0.006024","0.018072"
"84","0.023810","0.023810","0.000000","0.023810"
"85","0.017647","0.017647","0.005882","0.029412"
"86","0.023256","0.011628","0.000000","0.023256"
"87","0.017241","0.017241","0.005747","0.028736"
"88","0.011364","0.022727","0.000000","0.034091"
"89","0.005618","0.016854","0.005618","0.039326"
"90","0.000000","0.022222","0.011111","0.044445"
"91","0.005495","0.016484","0.016484","0.049451"
"92","0.000000","0.021739","0.021739","0.043478"
"93","0.005376","0.016129","0.026882","0.048387"
"94","0.000000","0.010638","0.021277","0.053192"
"95","0.005263","0.015790","0.015790","0.047368"
"96","0.000000","0.020833","0.020833","0.052083"
"97","0.005155","0.015464","0.015464","0.046392"
"98","0.010204","0.010204","0.010204","0.051020"
"99","0.015152","0.015152","0.005051","0.045455"
"100","0.010000","0.010000","0.000000","0.040000"

