"Sample","White Noise","Golden Ratio","Blue Noise","Projective Blue Noise"
"1","0.029733","0.048784","0.171203","0.362938"
"2","0.191972","0.211790","0.091510","0.076949"
"3","0.106931","0.176653","0.004846","0.020575"
"4","0.032526","0.126393","0.043853","0.030427"
"5","0.051712","0.072746","0.047826","0.060679"
"6","0.014007","0.104498","0.015706","0.020291"
"7","0.017509","0.071226","0.009186","0.022844"
"8","0.016356","0.045824","0.008373","0.009145"
"9","0.043616","0.061570","0.031683","0.015252"
"10","0.044477","0.061426","0.071878","0.000191"
"11","0.033098","0.092330","0.065725","0.019300"
"12","0.016404","0.062368","0.034004","0.001837"
"13","0.048258","0.064893","0.059069","0.010153"
"14","0.053872","0.048812","0.034563","0.007105"
"15","0.070707","0.061189","0.032949","0.000178"
"16","0.054390","0.054174","0.025564","0.013708"
"17","0.030089","0.046944","0.017968","0.021065"
"18","0.051746","0.061363","0.005024","0.024371"
"19","0.054455","0.058219","0.011119","0.017636"
"20","0.054578","0.049508","0.002819","0.029323"
"21","0.055145","0.035499","0.017377","0.013822"
"22","0.040717","0.040823","0.022917","0.020325"
"23","0.035789","0.057722","0.033375","0.029891"
"24","0.030663","0.045795","0.027884","0.039295"
"25","0.037564","0.048152","0.031835","0.032581"
"26","0.049726","0.044046","0.032095","0.040625"
"27","0.043478","0.054743","0.016922","0.037765"
"28","0.041729","0.040359","0.017907","0.046118"
"29","0.036120","0.038420","0.016149","0.036589"
"30","0.031602","0.047127","0.005813","0.029365"
"31","0.021910","0.049771","0.001381","0.030408"
"32","0.022565","0.044285","0.002260","0.030431"
"33","0.030966","0.037523","0.004912","0.019935"
"34","0.039185","0.042653","0.000567","0.017075"
"35","0.047157","0.038435","0.005938","0.014090"
"36","0.040320","0.031642","0.003093","0.013738"
"37","0.035280","0.032832","0.013748","0.016102"
"38","0.028090","0.032834","0.008403","0.025383"
"39","0.024961","0.041886","0.015634","0.021884"
"40","0.022182","0.033012","0.019691","0.029857"
"41","0.030351","0.032405","0.010741","0.026247"
"42","0.020739","0.027580","0.009935","0.020394"
"43","0.015146","0.032451","0.004778","0.020349"
"44","0.018643","0.028085","0.001076","0.010331"
"45","0.011365","0.024669","0.004417","0.003175"
"46","0.004833","0.029095","0.007802","0.002872"
"47","0.007507","0.028784","0.011675","0.005801"
"48","0.000599","0.023938","0.012950","0.009949"
"49","0.004991","0.017824","0.018950","0.013684"
"50","0.007017","0.019489","0.017490","0.007375"
"51","0.009199","0.015076","0.017135","0.010875"
"52","0.010614","0.009232","0.016879","0.013970"
"53","0.013626","0.009043","0.018133","0.011348"
"54","0.016557","0.007288","0.021201","0.010489"
"55","0.016647","0.012773","0.024403","0.003729"
"56","0.012361","0.011383","0.016594","0.005415"
"57","0.017345","0.009548","0.014690","0.008374"
"58","0.020610","0.004751","0.009361","0.000811"
"59","0.026121","0.006770","0.015969","0.003894"
"60","0.025461","0.013764","0.014420","0.007139"
"61","0.023124","0.009825","0.012749","0.011227"
"62","0.021374","0.011839","0.009234","0.011738"
"63","0.018199","0.010070","0.003353","0.016867"
"64","0.017767","0.014470","0.005180","0.011831"
"65","0.015868","0.008772","0.008990","0.014383"
"66","0.017952","0.008399","0.005898","0.014843"
"67","0.022026","0.013245","0.009395","0.017816"
"68","0.021071","0.014064","0.014104","0.014102"
"69","0.015447","0.012597","0.011663","0.009864"
"70","0.012136","0.009627","0.012626","0.009269"
"71","0.007414","0.012412","0.012241","0.010602"
"72","0.009297","0.009982","0.012750","0.011865"
"73","0.011706","0.007225","0.017410","0.014919"
"74","0.005673","0.008860","0.013190","0.011756"
"75","0.000202","0.008795","0.008432","0.008566"
"76","0.002871","0.013608","0.009936","0.010007"
"77","0.004865","0.009356","0.010050","0.011820"
"78","0.002075","0.009601","0.013815","0.011242"
"79","0.005980","0.006882","0.008424","0.007120"
"80","0.007207","0.009215","0.011615","0.005897"
"81","0.010446","0.007763","0.009632","0.003617"
"82","0.009205","0.006090","0.010836","0.003748"
"83","0.006732","0.009048","0.012732","0.006233"
"84","0.005371","0.008461","0.012289","0.001576"
"85","0.002134","0.006296","0.014167","0.004958"
"86","0.001209","0.002848","0.010898","0.006008"
"87","0.000726","0.003864","0.007034","0.009639"
"88","0.000598","0.008442","0.007615","0.010424"
"89","0.000094","0.005202","0.005788","0.012713"
"90","0.002862","0.005589","0.003091","0.010580"
"91","0.003517","0.004288","0.001410","0.010657"
"92","0.002009","0.007405","0.001545","0.011773"
"93","0.004036","0.003185","0.000724","0.010491"
"94","0.005622","0.002292","0.005253","0.012342"
"95","0.004744","0.004891","0.007799","0.009790"
"96","0.003997","0.005682","0.005636","0.011605"
"97","0.000670","0.003745","0.003093","0.015037"
"98","0.002860","0.001336","0.001863","0.013314"
"99","0.002230","0.002828","0.002465","0.013739"
"100","0.000074","0.001328","0.002388","0.015628"
"101","0.000673","0.001254","0.002773","0.019194"
"102","0.003687","0.001079","0.004393","0.017994"
"103","0.001071","0.001346","0.002099","0.016810"
"104","0.002274","0.001994","0.002360","0.017303"
"105","0.000084","0.001981","0.004180","0.013479"
"106","0.001540","0.001423","0.002655","0.009687"
"107","0.002319","0.000638","0.003661","0.006301"
"108","0.000889","0.001080","0.002247","0.007848"
"109","0.001047","0.005104","0.005472","0.003782"
"110","0.002490","0.003377","0.004811","0.004416"
"111","0.005583","0.004857","0.005069","0.006367"
"112","0.005592","0.004491","0.008483","0.005352"
"113","0.007527","0.007475","0.006399","0.003092"
"114","0.008993","0.004601","0.008554","0.000252"
"115","0.009507","0.004868","0.010063","0.002130"
"116","0.010835","0.007836","0.010487","0.002152"
"117","0.010020","0.008929","0.008300","0.001238"
"118","0.008421","0.008323","0.007083","0.002293"
"119","0.009923","0.007050","0.004619","0.000571"
"120","0.008208","0.009126","0.002311","0.000611"
"121","0.007817","0.008218","0.003051","0.000666"
"122","0.004324","0.006881","0.001481","0.003997"
"123","0.003486","0.007994","0.001851","0.001815"
"124","0.005455","0.008467","0.002261","0.000305"
"125","0.002954","0.011649","0.003470","0.001055"
"126","0.002059","0.009355","0.002737","0.001993"
"127","0.004079","0.009822","0.000156","0.000241"
"128","0.002871","0.008587","0.001026","0.001650"
"129","0.004766","0.010489","0.000454","0.000873"
"130","0.005063","0.009668","0.000399","0.000265"
"131","0.002472","0.008988","0.001587","0.000722"
"132","0.004393","0.011063","0.003120","0.000694"
"133","0.003955","0.011179","0.003497","0.000709"
"134","0.001867","0.009995","0.003200","0.003437"
"135","0.003471","0.008101","0.000303","0.003376"
"136","0.003955","0.009120","0.001496","0.002325"
"137","0.003043","0.007606","0.001926","0.002028"
"138","0.005993","0.005767","0.002276","0.003699"
"139","0.006852","0.006200","0.000505","0.003615"
"140","0.007652","0.005775","0.001281","0.003035"
"141","0.007655","0.008129","0.002988","0.003756"
"142","0.006341","0.005569","0.002473","0.006083"
"143","0.004258","0.005266","0.002556","0.005090"
"144","0.003861","0.003502","0.003344","0.006656"
"145","0.004397","0.004485","0.004498","0.004535"
"146","0.003572","0.003330","0.005261","0.004731"
"147","0.004595","0.002035","0.005528","0.007502"
"148","0.002467","0.003313","0.003314","0.009360"
"149","0.002771","0.002722","0.003422","0.008479"
"150","0.004038","0.001162","0.004869","0.007875"
"151","0.002517","0.001043","0.005626","0.007094"
"152","0.002983","0.000852","0.006794","0.008626"
"153","0.002711","0.001593","0.006324","0.010404"
"154","0.000922","0.000535","0.006702","0.011441"
"155","0.000488","0.000692","0.006784","0.009687"
"156","0.002756","0.001752","0.009125","0.009709"
"157","0.003509","0.000203","0.007949","0.010108"
"158","0.003854","0.001238","0.008752","0.009957"
"159","0.003772","0.002129","0.010344","0.007349"
"160","0.003546","0.000911","0.007596","0.005108"
"161","0.001414","0.000727","0.005407","0.003357"
"162","0.000297","0.001643","0.006473","0.003215"
"163","0.002775","0.000096","0.004048","0.001408"
"164","0.005252","0.000413","0.001774","0.000104"
"165","0.003349","0.000739","0.000227","0.002375"
"166","0.003217","0.000471","0.001068","0.001467"
"167","0.005207","0.000210","0.001204","0.001726"
"168","0.004741","0.000324","0.002434","0.000651"
"169","0.006697","0.001438","0.003675","0.002057"
"170","0.006133","0.001219","0.005621","0.002293"
"171","0.005064","0.000509","0.004774","0.001971"
"172","0.006653","0.001037","0.003391","0.000535"
"173","0.004998","0.000293","0.001501","0.001006"
"174","0.004344","0.002162","0.002293","0.001150"
"175","0.003460","0.000780","0.003194","0.000878"
"176","0.003432","0.001363","0.003177","0.000794"
"177","0.005763","0.000858","0.004055","0.002246"
"178","0.004207","0.002586","0.005331","0.002303"
"179","0.005554","0.000560","0.006959","0.002002"
"180","0.003681","0.000388","0.007149","0.000438"
"181","0.005212","0.002070","0.005849","0.000487"
"182","0.006116","0.002573","0.006831","0.000216"
"183","0.005056","0.001888","0.007006","0.001031"
"184","0.007403","0.000801","0.008062","0.000538"
"185","0.006877","0.001863","0.008414","0.001636"
"186","0.006088","0.001106","0.009608","0.002166"
"187","0.004242","0.000036","0.009471","0.002337"
"188","0.003081","0.000416","0.011010","0.002755"
"189","0.004713","0.000453","0.010215","0.003206"
"190","0.005852","0.002425","0.007958","0.001532"
"191","0.005111","0.000719","0.009756","0.002865"
"192","0.006520","0.000727","0.011154","0.002066"
"193","0.005910","0.000294","0.011720","0.000893"
"194","0.005931","0.000783","0.010319","0.001652"
"195","0.005740","0.000008","0.009168","0.002528"
"196","0.004722","0.000710","0.009230","0.002314"
