"Sample","White Noise","Golden Ratio","Blue Noise","Projective Blue Noise"
"1","0.318310","0.318310","0.318310","0.318310"
"2","0.318310","0.181690","0.318310","0.318310"
"3","0.318310","0.348357","0.015023","0.015023"
"4","0.318310","0.181690","0.068310","0.068310"
"5","0.318310","0.081690","0.118310","0.118310"
"6","0.318310","0.181690","0.015023","0.015023"
"7","0.318310","0.253119","0.110262","0.032596"
"8","0.318310","0.181690","0.056690","0.068310"
"9","0.207199","0.126135","0.015023","0.015023"
"10","0.218310","0.181690","0.018310","0.081690"
"11","0.136492","0.227145","0.045327","0.045326"
"12","0.068310","0.181690","0.098357","0.015023"
"13","0.087541","0.143229","0.066306","0.066305"
"14","0.032596","0.181690","0.038833","0.038833"
"15","0.051643","0.215023","0.015023","0.015023"
"16","0.068310","0.181690","0.005810","0.005810"
"17","0.083016","0.152278","0.024192","0.034631"
"18","0.096088","0.126135","0.040532","0.070579"
"19","0.107784","0.155374","0.055152","0.050111"
"20","0.118310","0.131690","0.018310","0.031690"
"21","0.080215","0.110262","0.032596","0.062643"
"22","0.091037","0.090781","0.045583","0.090781"
"23","0.100919","0.116473","0.013962","0.072995"
"24","0.109977","0.098357","0.026643","0.056690"
"25","0.118310","0.081690","0.038310","0.041690"
"26","0.087541","0.066305","0.010618","0.027844"
"27","0.096088","0.089098","0.022014","0.015023"
"28","0.104024","0.074547","0.003119","0.003119"
"29","0.111413","0.061000","0.007965","0.007965"
"30","0.118310","0.048357","0.018310","0.015023"
"31","0.092503","0.068787","0.004271","0.004271"
"32","0.099560","0.056690","0.005810","0.005810"
"33","0.106189","0.045327","0.015023","0.015280"
"34","0.112428","0.034631","0.005220","0.024192"
"35","0.089738","0.053119","0.024547","0.004024"
"36","0.096088","0.042801","0.015023","0.012754"
"37","0.075067","0.033041","0.006014","0.021013"
"38","0.081468","0.023795","0.002520","0.028836"
"39","0.061900","0.040664","0.010618","0.010618"
"40","0.068310","0.031690","0.006690","0.006690"
"41","0.050017","0.023154","0.001237","0.023154"
"42","0.032596","0.015023","0.008786","0.015023"
"43","0.015984","0.030527","0.015984","0.007272"
"44","0.022855","0.022599","0.022855","0.000128"
"45","0.007199","0.015023","0.007199","0.015023"
"46","0.013962","0.007777","0.013962","0.007777"
"47","0.000839","0.022116","0.020438","0.000839"
"48","0.005810","0.015023","0.026643","0.005810"
"49","0.012187","0.008221","0.032596","0.008221"
"50","0.001690","0.001690","0.038310","0.001690"
"51","0.004584","0.015023","0.024192","0.004584"
"52","0.008613","0.008613","0.029848","0.010618"
"53","0.002445","0.002445","0.035291","0.016423"
"54","0.015023","0.003495","0.040532","0.022014"
"55","0.008963","0.008963","0.045583","0.027401"
"56","0.003119","0.020976","0.050453","0.032596"
"57","0.015023","0.015023","0.055152","0.020064"
"58","0.009276","0.009276","0.059689","0.025206"
"59","0.003724","0.020673","0.064073","0.013225"
"60","0.015024","0.031690","0.051643","0.018310"
"61","0.025953","0.025952","0.056015","0.023228"
"62","0.020400","0.020400","0.060245","0.027987"
"63","0.030897","0.030897","0.048469","0.032596"
"64","0.025440","0.041065","0.037060","0.037060"
"65","0.035536","0.035536","0.026002","0.041387"
"66","0.030175","0.030175","0.015280","0.045583"
"67","0.024974","0.024974","0.019802","0.049653"
"68","0.019926","0.034631","0.024192","0.053604"
"69","0.029516","0.029516","0.013962","0.042948"
"70","0.024547","0.024547","0.004024","0.046881"
"71","0.033803","0.019718","0.008451","0.050704"
"72","0.028912","0.028912","0.001135","0.040532"
"73","0.024156","0.024156","0.010457","0.044337"
"74","0.019528","0.019528","0.006014","0.048040"
"75","0.015024","0.015024","0.001690","0.051643"
"76","0.023795","0.023795","0.010637","0.055152"
"77","0.019353","0.019353","0.006365","0.045583"
"78","0.015023","0.015023","0.002203","0.049079"
"79","0.010804","0.010804","0.001854","0.052487"
"80","0.006690","0.019190","0.005810","0.043310"
"81","0.002678","0.015023","0.009668","0.034359"
"82","0.001237","0.010958","0.013432","0.025627"
"83","0.006991","0.006991","0.017105","0.029153"
"84","0.015024","0.015024","0.020691","0.032596"
"85","0.022867","0.011102","0.024192","0.035957"
"86","0.018900","0.007272","0.015984","0.027612"
"87","0.026518","0.003529","0.007965","0.030954"
"88","0.022599","0.011236","0.000128","0.034219"
"89","0.018769","0.007533","0.007533","0.026175"
"90","0.015024","0.003912","0.003912","0.018310"
"91","0.011361","0.000371","0.000371","0.010618"
"92","0.018647","0.007777","0.007777","0.013962"
"93","0.025776","0.004271","0.004271","0.017235"
"94","0.032754","0.000839","0.000839","0.009799"
"95","0.029059","0.002520","0.002520","0.013047"
"96","0.035857","0.004607","0.005810","0.016227"
"97","0.042515","0.001278","0.009032","0.019341"
"98","0.038833","0.001983","0.012187","0.022392"
"99","0.035226","0.005179","0.015280","0.025381"
"100","0.031690","0.001690","0.018310","0.028310"

